Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Northwest Hospital,444.825000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7MST near Seattle, King County, Washington OPEN",,,,
1,Capitol Hill,146.960000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7PSR near Seattle, King County, Washington OPEN",,,,
2,Capitol Hill,444.375000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AJ7JA near Seattle, King County, Washington OPEN",,,,
3,Beacon Hill,146.900000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7MST near Seattle, King County, Washington OPEN",,,,
4,Beacon Hill,224.680000,-,1.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7MST near Seattle, King County, Washington OPEN",,,,
5,K7SPG,444.000000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7SPG near Seattle, King County, Washington OPEN",,,,
6,KB7WCE,444.225000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB7WCE near Seattle, King County, Washington OPEN",,,,
7,WA7LZO,442.900000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA7LZO near Seattle, King County, Washington OPEN",,,,
8,Queen Anne Hill,444.700000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7SEA near Seattle, King County, Washington OPEN",,,,
9,Beacon Hill,443.550000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7MST near Seattle, King County, Washington OPEN",,,,
10,Southwest Myrtle Street Reservoir,441.800000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7AW near Seattle, King County, Washington OPEN Located in the High Point Neighborhood of West Seattle.",,,,
11,Columbia Center,444.550000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7SEA near Seattle, King County, Washington OPEN",,,,
12,KOMO TV Tower,444.425000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"WW7SEA near Seattle, King County, Washington OPEN",,,,
13,Roosevelt Hill,443.650000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7ACS near Seattle, King County, Washington OPEN",,,,
14,Seattle Childrens Hospital,444.775000,+,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7IDS near Seattle, King County, Washington OPEN",,,,
15,W7BMW,445.825000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7BMW near Seattle, King County, Washington OPEN",,,,
16,K7SLB,440.100000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7SLB near Seattle, King County, Washington OPEN",,,,
17,W7ACS,443.000000,+,5.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7ACS near Seattle, King County, Washington OPEN",,,,
18,W7ACS,443.475000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7ACS near Seattle, King County, Washington OPEN",,,,
19,West Seattle,145.130000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7AW near Seattle, King County, Washington OPEN",,,,
20,Westcrest Park,443.200000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7ACS near Seattle, King County, Washington OPEN",,,,
