Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Booth Hill,443.800000,+,5.025000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA7ENA near Spokane, Spokane County, Washington OPEN Tower Mtn?",,,,
1,Mica Peak,147.380000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N7WRQ near Spokane, Spokane County, Washington OPEN",,,,
2,Mica Peak,145.110000,-,0.600000,TSQL,88.5,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA7UOJ near Spokane, Spokane County, Washington OPEN",,,,
3,Southeast Spokane Valley,145.210000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7TRF near Spokane, Spokane County, Washington OPEN",,,,
4,Krell Hill,145.390000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7UPS near Spokane, Spokane County, Washington OPEN Wide area coverage on PL 100.0. Local area coverage for Echolink preferred on 127.3.",,,,
5,Krell Hill,146.880000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WR7VHF near Spokane, Spokane County, Washington OPEN",,,,
6,Mica Peak,147.240000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA7HWD near Spokane, Spokane County, Washington OPEN",,,,
7,Brownes Mountain,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W7GBU near Spokane, Spokane County, Washington OPEN",,,,
8,Downtown Spokane,147.340000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WR7VHF near Spokane, Spokane County, Washington OPEN",,,,
9,KD7IKZ,443.850000,+,5.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KD7IKZ near Spokane, Spokane County, Washington OPEN Located downtown.",,,,
10,Krell,444.125000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC7AAD near Spokane, Spokane County, Washington OPEN PNW DMR Linked System",,,,
11,K7SRG,444.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7SRG near Spokane, Spokane County, Washington OPEN",,,,
12,Arbor Crest,444.900000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WR7VHF near Spokane Valley, Spokane County, Washington OPEN",,,,
13,Tower Mountain,145.370000,-,0.600000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA7ENA near Spokane, Spokane County, Washington OPEN",,,,
14,Paradise Rim,147.100000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"KG7SD near Spokane, Spokane County, Washington OPEN",,,,
15,Five Mile,147.060000,+,0.600000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N7BFS near Spokane, Spokane County, Washington OPEN 146.6200 Colville link is down.",,,,
16,K7SRG,147.200000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7SRG near Spokane, Spokane County, Washington OPEN Visit http://www.srgclub.org to obtain access info.",,,,
17,South Hill,444.350000,+,5.000000,Tone,192.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N1NG near Spokane, Spokane County, Washington OPEN",,,,
18,West Plains,443.925000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7MMA near Spokane, Spokane County, Washington OPEN Linked into the Seattle Reflector 9198",,,,
19,N7FM,145.330000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N7FM near Spokane, Spokane County, Washington OPEN",,,,
20,South Hill,147.160000,+,0.600000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7EKM near Spokane, Spokane County, Washington OPEN",,,,
21,N7FM,444.425000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N7FM near Spokane, Spokane County, Washington OPEN",,,,
22,WA7DRE,443.525000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA7DRE near Spokane, Spokane County, Washington OPEN",,,,
23,N7FM,442.600000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N7FM near Spokane, Spokane County, Washington OPEN",,,,
24,Spokane International Airport,145.290000,-,0.600000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7MMA near Spokane, Spokane County, Washington OPEN",,,,
25,Spokane Airport,444.450000,+,5.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K7MMA near Spokane, Spokane County, Washington OPEN",,,,
26,N7FM,146.660000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"N7FM near Spokane, Spokane County, Washington OPEN",,,,
27,Mt. Spokane,444.600000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WR7VHF near Spokane, Spokane County, Washington OPEN",,,,
28,Krell Hill,444.500000,+,5.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AE7RJ near Spokane, Spokane County, Washington OPEN WiRES-X Room is SkyHubLink normally but can be moved. Prior contact with Control Operator NOT necessary. FM is available but not recommended.",,,,
29,South Hill,146.475000,+,1.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"KI7TRR near Spokane, Spokane County, Washington OPEN FM (Narrow Band ONLY) and P25, NAC is 555(hex) and Talk Group is 200",,,,
